Datum Tid (UTC),Satellit,Elevation,Havstemperatur,Pixlar
2020-09-28 06:09:10,NOAA 19,84,7.99,19875
2020-09-28 16:03:47,NOAA 19,77,8.89,17435
2020-09-28 17:25:15,NOAA 15,90,7.97,11120
2020-09-28 19:11:40,NOAA 18,67,7.5,11539
2020-09-29 15:52:07,NOAA 19,66,9.95,14384
2020-09-29 17:00:12,NOAA 15,64,9.49,12195
2020-09-29 18:59:55,NOAA 18,57,8.76,14659
2020-09-29 20:41:04,NOAA 18,36,8.69,5820
2020-09-30 05:45:41,NOAA 19,60,9.39,13608
2020-09-30 06:45:53,NOAA 15,57,9.57,15104
2020-09-30 08:25:51,NOAA 15,36,9.69,12193
2020-09-30 08:53:17,NOAA 18,54,10.15,15318
2020-09-30 10:34:09,NOAA 18,40,8.7,19272
2020-09-30 15:40:28,NOAA 19,56,8.74,14621
2020-09-30 16:35:19,NOAA 15,45,8.58,12516
2020-09-30 18:48:12,NOAA 18,49,8.58,10006
2020-10-01 05:33:56,NOAA 19,51,6.81,20398
2020-10-01 06:20:44,NOAA 15,39,7.11,19827
2020-10-01 07:14:47,NOAA 19,41,6.58,14854
2020-10-01 08:00:41,NOAA 15,50,7.62,17794
2020-10-01 08:41:27,NOAA 18,45,7.81,18017
2020-10-01 10:22:18,NOAA 18,46,8.24,16304
2020-10-01 15:28:53,NOAA 19,48,9.07,19149
2020-10-01 17:49:43,NOAA 15,64,8.21,13118
2020-10-01 18:36:32,NOAA 18,42,8.39,19887
2020-10-02 05:22:13,NOAA 19,42,9.39,20667
2020-10-02 05:55:39,NOAA 15,27,8.15,14807
2020-10-02 07:03:02,NOAA 19,48,7.76,28641
2020-10-02 07:35:29,NOAA 15,71,9.63,28324
2020-10-02 08:29:37,NOAA 18,38,9.71,22281
2020-10-02 10:10:25,NOAA 18,54,9.47,29220
2020-10-02 17:24:30,NOAA 15,89,8.56,13811
2020-10-02 18:24:52,NOAA 18,36,8.07,13539
2020-10-02 20:05:03,NOAA 18,60,7.5,15206
2020-10-03 05:10:29,NOAA 19,36,7.75,15364
2020-10-03 06:51:17,NOAA 19,56,7.37,15990
2020-10-03 08:17:47,NOAA 18,32,7.46,11103
2020-10-03 09:58:34,NOAA 18,63,8.47,21119
2020-10-03 15:05:47,NOAA 19,36,8.55,12445
2020-10-03 16:45:54,NOAA 19,61,7.22,7042
2020-10-03 16:59:28,NOAA 15,63,7.4,9211
2020-10-03 18:13:16,NOAA 18,32,7.1,5002
2020-10-03 19:53:07,NOAA 18,71,8.89,12231
2020-10-04 04:58:46,NOAA 19,30,7.56,10422
2020-10-04 09:46:42,NOAA 18,74,8.16,7492
2020-10-04 19:41:14,NOAA 18,83,9.72,18887
2020-10-05 04:47:03,NOAA 19,25,9.28,17774
2020-10-05 06:20:01,NOAA 15,39,9.71,20532
2020-10-05 06:27:45,NOAA 19,77,7.5,15580
2020-10-05 07:59:56,NOAA 15,50,10.24,31200
2020-10-05 14:42:49,NOAA 19,27,7.42,12555
2020-10-05 16:22:20,NOAA 19,84,9.47,11445
2020-10-06 05:54:55,NOAA 15,27,6.93,4304
2020-10-06 06:16:00,NOAA 19,90,7.69,2399
2020-10-06 16:10:37,NOAA 19,83,8.0,8066
2020-10-06 17:23:46,NOAA 15,88,7.55,7773
2020-10-06 19:17:36,NOAA 18,72,7.52,8107
2020-10-07 06:04:15,NOAA 19,77,7.77,5422
2020-10-07 07:09:35,NOAA 15,81,8.19,6599
2020-10-07 09:11:07,NOAA 18,69,7.52,3563
2020-10-07 15:58:55,NOAA 19,71,7.92,11821
2020-10-07 16:58:45,NOAA 15,62,8.82,12276
2020-10-07 19:05:49,NOAA 18,62,7.69,11982
2020-10-08 06:44:25,NOAA 15,56,8.3,10724
2020-10-08 08:59:16,NOAA 18,58,8.4,10508
2020-10-08 10:40:08,NOAA 18,37,6.17,4648
2020-10-08 16:33:52,NOAA 15,44,8.14,8719
2020-10-08 18:54:06,NOAA 18,53,7.03,4655
2020-10-09 05:40:45,NOAA 19,55,7.73,6756
2020-10-09 06:19:17,NOAA 15,38,7.83,7399
2020-10-09 08:47:25,NOAA 18,49,9.39,11448
2020-10-09 10:28:16,NOAA 18,43,9.02,11116
2020-10-09 15:35:39,NOAA 19,51,9.09,17261
2020-10-09 17:48:13,NOAA 15,66,9.01,16134
2020-10-09 18:42:23,NOAA 18,45,8.76,17494
2020-10-10 05:29:01,NOAA 19,46,7.23,10619
2020-10-10 07:09:52,NOAA 19,45,6.83,7957
2020-10-10 15:24:05,NOAA 19,44,6.32,1354
2020-10-11 05:17:17,NOAA 19,39,9.61,12208
2020-10-11 06:58:06,NOAA 19,52,7.81,12321
2020-10-11 07:08:50,NOAA 15,80,9.37,13105
2020-10-11 08:23:44,NOAA 18,35,9.41,17851
2020-10-13 04:53:51,NOAA 19,28,10.12,11772
2020-10-13 06:18:33,NOAA 15,38,9.08,12386
2020-10-13 06:34:35,NOAA 19,72,8.97,11395
2020-10-13 09:40:49,NOAA 18,81,8.36,14861
2020-10-13 19:35:20,NOAA 18,90,7.78,2409
2020-10-14 06:22:49,NOAA 19,84,7.36,4388
2020-10-16 15:54:03,NOAA 19,65,5.5,1313
2020-10-16 16:32:25,NOAA 15,43,7.3,2769
2020-10-16 18:12:06,NOAA 15,46,6.29,3535
2020-10-16 18:59:59,NOAA 18,56,7.89,4272
2020-10-17 05:47:34,NOAA 19,59,7.83,5628
2020-10-17 07:28:25,NOAA 19,36,6.16,2527
2020-10-17 08:53:23,NOAA 18,53,7.05,7598
2020-10-17 15:42:25,NOAA 19,55,8.23,3242
2020-10-17 18:48:16,NOAA 18,48,9.2,1991
2020-10-18 05:35:49,NOAA 19,50,8.7,7093
2020-10-18 05:52:44,NOAA 15,26,7.83,5557
2020-10-18 07:16:41,NOAA 19,42,7.4,5309
2020-10-18 07:32:33,NOAA 15,74,8.46,11368
2020-10-18 08:41:32,NOAA 18,44,7.33,7608
2020-10-19 07:04:54,NOAA 19,48,6.05,782
2020-10-19 08:29:42,NOAA 18,37,6.7,3181
2020-10-19 15:19:16,NOAA 19,41,6.08,4053
2020-10-20 05:12:21,NOAA 19,35,6.68,3849
2020-10-20 06:42:13,NOAA 15,54,6.6,2564
2020-10-20 06:53:09,NOAA 19,57,5.92,1399
2020-10-22 16:24:14,NOAA 19,85,7.96,16403
2020-10-22 17:20:48,NOAA 15,84,7.89,16875
2020-10-23 06:17:51,NOAA 19,89,6.7,5009
2020-10-23 07:06:38,NOAA 15,77,7.1,7849
2020-10-23 09:23:03,NOAA 18,80,5.97,5674
2020-10-23 16:12:31,NOAA 19,82,6.16,4116
2020-10-24 06:06:07,NOAA 19,76,6.79,4736
2020-10-24 06:41:29,NOAA 15,53,6.63,3341
2020-10-24 09:11:11,NOAA 18,67,5.93,2388
2020-10-24 18:10:35,NOAA 15,47,6.4,4727
2020-10-24 19:05:52,NOAA 18,60,7.59,8072
2020-10-25 20:35:03,NOAA 18,40,5.81,10005
2020-10-26 05:42:36,NOAA 19,54,6.62,685
2020-10-27 20:11:02,NOAA 18,57,6.23,4255
2020-10-28 05:19:08,NOAA 19,38,7.45,11519
2020-10-28 06:40:44,NOAA 15,52,8.1,13540
2020-10-28 06:59:57,NOAA 19,53,6.31,7915
2020-10-28 10:04:36,NOAA 18,60,6.16,6197
2020-10-28 16:30:13,NOAA 15,42,5.97,5095
2020-10-28 16:54:40,NOAA 19,56,6.73,4464
2020-10-28 18:09:50,NOAA 15,48,6.19,5588
2020-10-28 19:59:06,NOAA 18,67,6.63,7984
2020-10-29 05:07:24,NOAA 19,32,6.53,13113
2020-10-29 06:15:37,NOAA 15,36,6.56,11039
2020-10-29 06:48:11,NOAA 19,62,6.23,11491
2020-10-29 07:55:31,NOAA 15,54,5.94,8451
2020-10-29 08:11:58,NOAA 18,28,6.1,8310
2020-10-29 09:52:44,NOAA 18,70,6.6,7568
2020-10-29 16:42:51,NOAA 19,67,6.38,6267
2020-10-29 17:44:29,NOAA 15,70,6.48,7565
2020-10-30 04:55:41,NOAA 19,27,5.9,4686
2020-10-30 06:36:25,NOAA 19,73,6.17,6566
2020-10-30 07:30:20,NOAA 15,77,6.49,8222
2020-10-30 09:40:51,NOAA 18,82,6.18,7451
2020-10-30 14:51:25,NOAA 19,29,5.67,3633
2020-10-30 16:31:03,NOAA 19,79,6.88,8715
2020-10-30 17:19:19,NOAA 15,82,6.81,9078
2020-10-30 19:35:21,NOAA 18,88,7.47,10022
2020-10-31 06:24:39,NOAA 19,85,7.57,5996
2020-10-31 07:05:09,NOAA 15,75,7.48,5827
2020-10-31 09:29:00,NOAA 18,85,7.11,5886
2020-10-31 16:19:18,NOAA 19,88,6.23,2444
2020-10-31 16:54:20,NOAA 15,58,6.59,866
2020-10-31 19:23:32,NOAA 18,76,6.33,6770
2020-11-01 09:17:07,NOAA 18,73,6.61,1920
2020-11-01 18:09:05,NOAA 15,48,5.9,5642
2020-11-01 19:11:45,NOAA 18,65,5.96,5630
2020-11-02 06:14:52,NOAA 15,35,7.64,166
2020-11-02 15:55:55,NOAA 19,64,6.38,1593
2020-11-02 19:00:01,NOAA 18,55,7.58,5997
2020-11-02 20:41:04,NOAA 18,37,7.31,10525
2020-11-03 08:53:25,NOAA 18,51,8.19,18976
2020-11-03 10:34:16,NOAA 18,41,6.74,18116
2020-11-03 15:44:17,NOAA 19,55,6.9,18899
2020-11-03 20:29:02,NOAA 18,44,6.31,10755
2020-11-04 05:37:38,NOAA 19,49,6.97,9093
2020-11-04 07:04:24,NOAA 15,74,7.05,9481
2020-11-04 07:18:29,NOAA 19,42,5.44,3196
2020-11-04 15:32:41,NOAA 19,47,6.44,6186
2020-11-04 17:13:23,NOAA 19,44,6.7,10263
2020-11-05 05:25:53,NOAA 19,42,6.26,4380
2020-11-05 08:29:44,NOAA 18,36,5.79,3683
2020-11-05 10:10:32,NOAA 18,56,5.96,8792
2020-11-05 15:21:07,NOAA 19,40,6.79,5837
2020-11-05 17:01:30,NOAA 19,52,6.27,7128
2020-11-05 18:24:59,NOAA 18,35,6.45,8654
2020-11-05 20:05:04,NOAA 18,62,7.09,8008
2020-11-06 05:14:09,NOAA 19,35,6.77,8147
2020-11-06 06:14:08,NOAA 15,35,7.69,13079
2020-11-06 06:54:58,NOAA 19,58,7.0,12036
2020-11-06 07:54:01,NOAA 15,55,7.61,16838
2020-11-06 08:17:53,NOAA 18,31,7.92,17666
2020-11-06 09:58:40,NOAA 18,65,8.26,24856
2020-11-06 15:09:35,NOAA 19,35,7.52,16061
2020-11-06 16:49:40,NOAA 19,62,7.34,13369
2020-11-06 17:43:00,NOAA 15,72,7.29,16755
2020-11-06 18:13:23,NOAA 18,31,7.48,9599
2020-11-06 19:53:09,NOAA 18,74,7.52,19415
2020-11-07 05:02:27,NOAA 19,30,6.99,16088
2020-11-07 06:43:12,NOAA 19,68,6.25,18181
2020-11-07 07:28:50,NOAA 15,79,6.59,25905
2020-11-07 08:06:04,NOAA 18,26,6.32,22168
2020-11-07 09:46:47,NOAA 18,77,6.2,27024
2020-11-07 17:17:50,NOAA 15,80,5.56,7195
2020-11-07 19:41:16,NOAA 18,86,5.93,8317
2020-11-08 04:50:44,NOAA 19,25,6.34,9615
2020-11-08 06:31:26,NOAA 19,79,6.98,17566
2020-11-08 07:03:40,NOAA 15,73,7.17,19408
2020-11-08 09:34:55,NOAA 18,89,6.96,21354
2020-11-08 16:26:05,NOAA 19,86,7.34,9911
2020-11-08 16:52:50,NOAA 15,56,7.56,8938
2020-11-08 19:29:26,NOAA 18,81,7.86,8877
2020-11-09 06:19:40,NOAA 19,88,5.51,3994
2020-11-09 06:38:31,NOAA 15,50,5.73,4781
2020-11-09 09:23:03,NOAA 18,78,5.93,8562
2020-11-09 16:14:21,NOAA 19,81,6.02,9963
2020-11-09 19:17:38,NOAA 18,69,5.96,12079
2020-11-10 06:07:54,NOAA 19,76,6.04,4252
2020-11-10 09:11:11,NOAA 18,66,6.65,12045
2020-11-10 19:05:53,NOAA 18,59,6.88,2758
2020-11-13 05:32:40,NOAA 19,45,5.77,1475
2020-11-13 10:16:27,NOAA 18,52,6.81,880
2020-11-13 15:27:48,NOAA 19,43,7.12,1530
2020-11-13 18:06:49,NOAA 15,50,5.95,3675
2020-11-13 18:30:48,NOAA 18,37,6.43,4290
2020-11-14 10:04:34,NOAA 18,61,7.91,3054
2020-11-15 16:44:38,NOAA 19,68,7.03,3926
2020-11-15 17:16:20,NOAA 15,78,6.23,2478
2020-11-15 19:47:10,NOAA 18,81,7.01,5906
2020-11-16 06:38:13,NOAA 19,74,6.17,1211
2020-11-16 07:02:10,NOAA 15,71,5.9,1422
2020-11-17 06:26:27,NOAA 19,86,6.15,4936
2020-11-17 06:37:01,NOAA 15,48,6.0,3820
2020-11-17 09:28:56,NOAA 18,83,5.98,2952
2020-11-18 09:17:04,NOAA 18,71,5.46,4720
2020-11-18 16:09:23,NOAA 19,74,6.17,4172
2020-11-18 19:11:43,NOAA 18,63,7.16,3902
2020-11-19 06:02:56,NOAA 19,69,6.4,2986
2020-11-19 07:26:35,NOAA 15,82,6.05,2732
2020-11-19 07:43:49,NOAA 19,32,6.04,4049
2020-11-19 18:59:59,NOAA 18,54,6.98,8093
2020-11-19 20:41:00,NOAA 18,38,6.8,5283
2020-11-20 05:51:11,NOAA 19,58,7.69,8382
2020-11-20 07:01:24,NOAA 15,70,8.11,9482
2020-11-20 08:53:21,NOAA 18,50,7.34,8161
2020-11-20 15:46:06,NOAA 19,54,6.96,9153
2020-11-20 16:50:38,NOAA 15,54,6.52,9435
2020-11-20 17:27:07,NOAA 19,37,5.93,3381
2020-11-20 18:48:17,NOAA 18,46,6.56,10352
2020-11-20 20:28:56,NOAA 18,45,6.21,7473
2020-11-21 05:39:26,NOAA 19,49,6.4,3264
2020-11-21 20:16:57,NOAA 18,53,5.77,3019
2020-11-22 05:27:41,NOAA 19,41,6.77,16434
2020-11-22 07:08:30,NOAA 19,50,5.65,11453
2020-11-22 08:29:39,NOAA 18,35,6.23,12047
2020-11-22 17:03:17,NOAA 19,53,6.29,12080
2020-11-22 17:39:59,NOAA 15,76,5.27,5591
2020-11-22 20:05:00,NOAA 18,64,6.66,12241
2020-11-23 05:15:57,NOAA 19,35,6.41,9247
2020-11-23 06:56:45,NOAA 19,59,6.05,7569
2020-11-23 07:25:50,NOAA 15,83,5.28,4169
2020-11-23 08:17:48,NOAA 18,30,7.13,6995
2020-11-23 09:58:34,NOAA 18,67,5.21,4464
2020-11-23 15:11:22,NOAA 19,35,6.31,10739
2020-11-23 16:51:26,NOAA 19,63,7.98,7541
2020-11-23 17:14:50,NOAA 15,76,7.18,19432
2020-11-23 18:13:21,NOAA 18,30,5.9,11558
2020-11-23 19:53:04,NOAA 18,75,6.72,17674
2020-11-24 05:04:13,NOAA 19,30,5.53,2596
2020-11-24 06:44:58,NOAA 19,69,5.41,3806
2020-11-24 08:05:58,NOAA 18,25,5.73,629
2020-11-24 09:46:42,NOAA 18,78,6.88,7770
2020-11-24 16:39:37,NOAA 19,75,6.91,4858
2020-11-24 18:01:46,NOAA 18,26,6.14,583
2020-11-24 19:41:12,NOAA 18,88,6.68,1379
2020-11-25 09:34:48,NOAA 18,89,6.28,2370
2020-11-25 18:04:32,NOAA 15,52,7.08,894
2020-11-26 06:21:28,NOAA 19,87,5.18,2651
2020-11-26 09:22:56,NOAA 18,76,5.88,5724
2020-11-26 16:16:08,NOAA 19,80,5.99,6751
2020-11-26 17:39:13,NOAA 15,77,6.11,5698
2020-11-27 06:09:41,NOAA 19,75,5.82,3881
2020-11-27 09:11:04,NOAA 18,64,5.94,3457
2020-11-27 16:04:27,NOAA 19,68,6.31,5881
2020-11-27 19:05:48,NOAA 18,58,5.99,1960
2020-11-28 05:57:56,NOAA 19,63,6.07,4256
2020-11-28 06:59:53,NOAA 15,68,5.71,2501
2020-11-28 08:59:11,NOAA 18,54,9.32,4885
2020-11-28 15:52:47,NOAA 19,58,8.86,1466
2020-11-29 05:46:11,NOAA 19,53,5.78,177
2020-11-29 08:47:20,NOAA 18,45,5.66,882
2020-11-29 15:41:10,NOAA 19,50,5.88,645
2020-11-29 17:22:00,NOAA 19,41,5.89,1390
2020-11-29 18:03:46,NOAA 15,53,6.73,1370
2020-11-29 20:22:52,NOAA 18,49,6.24,1098
